Field_Number,SNP Plate Number,SNP Well Position,Near_Town,Extraction_Location,Collector,Country,State,Lat,Long,Group,Stage,Stage (notes),Year,Month,Day,RAD?
1740-91780,2,E5,Elm Creek,"WIFL_ADA2_F7, WIFL_PA-TRA1_G2",Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,24,Failed
1740-91781,2,E6,Elm Creek,WIFL_PA-TRA1_G3,Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,24,
1740-91783,2,E7,Elm Creek,WIFL_PA-TRA1_G4,Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,25,Failed
1710-46164,2,E8,Edgwick,WIFL_BRW1_F2,Eben Paxton,USA,WA,47.4689,-121.71,brw,Breeding,Possible Breeding,1999,7,22,Failed
1590-27284,2,E9,Fork clearcut,WIFL_BRW1_A1,Eben Paxton,USA,WA,47.9678,-124.4,brw,Breeding,,NA,NA,NA,
1590-97285,2,E10,Fork clearcut,WIFL_BRW1_B3,Eben Paxton,USA,WA,47.9678,-124.4,brw,Breeding,Possible Breeding,1999,7,21,
1710-46156,2,E11,Mirror Lake,WIFL_ADA2_A6,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-46158,2,E12,Mirror Lake,WIFL_ADA2_A7,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-46159,2,F1,Mirror Lake,WIFL_ADA2_A8,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-20530,2,F2,Priem Road,WIFL_BRW1_D7,Eben Paxton,USA,OR,44.7821,-123.38,brw,Breeding,,1999,7,18,Failed
07N2015,2,F3,Ashland,,,USA,OR,41.63,-122.1,brw,Breeding,,2007,6,12,
07N1472,2,F4,Ashland,,Robert I. Frey,USA,OR,42.1997,-122.69,brw,Breeding,,2007,6,30,
07N2010,2,F5,Ashland,,,USA,OR,42.1997,-122.69,brw,Breeding,,2007,6,11,
08N15593,2,F6,Marion Forks,,"Corissa Crowder, Juan Carlos Valarezo",USA,OR,44.3708,-122.02,brw,Breeding,,2008,7,21,
09N17478,2,F7,Marion Forks,,"Herman Arias, Steve Ploetz",USA,OR,44.3708,-122.02,brw,Breeding,,2009,6,22,
09N23231,2,F8,Marion Forks,,,USA,OR,44.3708,-122.02,brw,Breeding,,2009,7,20,
09N23264,2,F9,Marion Forks,,,USA,OR,44.3708,-122.02,brw,Breeding,,2009,7,20,
10N15036,2,F10,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15044,2,F11,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15076,2,F12,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15080,2,G1,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15109,2,G2,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15111,2,G3,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15156,2,G4,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,6,15,
11N0853,2,G5,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,6,15,
11N0856,2,G6,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,7,13,
11N0857,2,G7,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,7,22,
06N34176,2,G8,Kelly,,Doug Wachob,USA,WY,43.6722,-110.6,NA,Migrant,,2006,8,2,
06N8451,2,G9,Kelly,,Doug Wachob,USA,WY,43.6722,-110.6,NA,Migrant,,2006,8,2,
10N10565,2,G10,Silverton,,Dan Froelich,USA,WA,48.0508,-121.43,NA,Migrant,,2010,8,7,
06N31862,2,G11,Silverton,,Victor Sepulveda,USA,WA,48.1681,-121.45,NA,Migrant,,2006,8,2,
06N31870,2,G12,Silverton,,Victor Sepulveda,USA,WA,48.1681,-121.45,NA,Migrant,,2006,8,2,
06N21751,2,H1,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,6,
06N21759,2,H2,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N21765,2,H3,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2435,2,H4,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2436,2,H5,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2437,2,H6,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N3121,2,H7,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,9,25,
06N3460,2,H8,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N3494,2,H9,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N3495,2,H10,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N5430,3,A1,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,9,8,
06N5672,3,A2,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5676,3,A3,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5677,3,A4,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5686,3,A5,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5687,3,A6,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5692,3,A7,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5695,3,A8,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5697,3,A9,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,8,23,
06N5757,3,A10,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,9,13,
06N5760,3,A11,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,9,13,
06N5396,3,A12,Merced,,John C. Ralph,USA,CA,37.08,-121.02,NA,Migrant,,2006,9,9,
07N27779,3,B1,Santa Nella,,Lara Sparks,USA,CA,37.08,-121.02,NA,Migrant,,2007,8,10,
07N27782,3,B2,Santa Nella,,Lara Sparks,USA,CA,37.08,-121.02,NA,Migrant,,2007,8,10,
07N27791,3,B3,Santa Nella,,Lara Sparks,USA,CA,37.08,-121.02,NA,Migrant,,2007,8,10,
08N18189,3,B4,Santa Nella,,Lara Sparks,USA,CA,37.08,-121.02,NA,Migrant,,2008,6,9,
08N18193,3,B5,Santa Nella,,Lara Sparks,USA,CA,37.08,-121.02,NA,Migrant,,2008,6,9,
1590-97336,3,B6,Pahranagat Lake NWR,WIFL_EXT1_H7,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,15,
1590-97337,3,B7,Pahranagat Lake NWR,WIFL_EXT1_H8,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,15,
1590-97338,3,B8,Pahranagat Lake NWR,WIFL_EXT1_H9,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,16,
1590-97339,3,B9,Pahranagat Lake NWR,WIFL_EXT1_I1,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,16,
1590-97340,3,B10,Pahranagat Lake NWR,WIFL_EXT1_I2,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,16,
1590-97341,3,B11,Pahranagat Lake NWR,WIFL_EXT1_I3,Eben Paxton,USA,NV,37.3167,-115.13,ext,Breeding,,1997,6,16,
1740-51764,3,B12,Fish Creek,WIFL_ADA2_B9,Eben Paxton,USA,UT,39.7751,-111.2,ada,Breeding,,2002,7,13,Failed
1740-51822,3,C1,White River Confluence to the Green River,WIFL_ADA2_C4,Eben Paxton,USA,UT,40.6725,-109.68,ada,Breeding,,2001,6,30,Failed
1710-20644,3,C2,West Fort Ditch,WIFL_EXT4_D1,Eben Paxton,USA,NM,33.0386,-108.54,ext,Breeding,,2000,6,28,
1710-46366,3,C3,West Fort Ditch,WIFL_EXT4_H9,Eben Paxton,USA,NM,33.0386,-108.54,ext,Breeding,,2000,6,28,
1710-46367,3,C4,West Fort Ditch,WIFL_EXT4_I1,Eben Paxton,USA,NM,33.0386,-108.54,ext,Breeding,,2000,6,28,
08N30865,3,C5,Albuquerque,,Steve Cox,USA,NM,35.0125,-106.46,NA,Migrant,,2008,8,30,
08N30878,3,C6,Albuquerque,,Steve Cox,USA,NM,35.0125,-106.46,NA,Migrant,,2008,9,6,
09N0489,3,C7,Albuquerque,,,USA,NM,35.0125,-106.46,NA,Migrant,,2009,8,16,
09N0490,3,C8,Albuquerque,,,USA,NM,35.0125,-106.46,NA,Migrant,,2009,8,16,
1590-97436,3,C9,Alamosa National Wildlife Refuge,WIFL_ADA1_E1,Eben Paxton,USA,CO,37.4307,-105.79,ada,Breeding,,1997,6,24,
1710-20640,3,C10,Alamosa National Wildlife Refuge,WIFL_ADA2_A5,Eben Paxton,USA,CO,37.4307,-105.79,ada,Breeding,,1998,6,23,
1740-91748,3,C11,Alamosa National Wildlife Refuge,WIFL_ADA2_E7,Eben Paxton,USA,CO,37.4307,-105.79,ada,Breeding,Possible Breeding,1996,7,25,
1740-91749,3,C12,Alamosa National Wildlife Refuge,WIFL_ADA2_E8,Eben Paxton,USA,CO,37.4307,-105.79,ada,Breeding,Possible Breeding,1996,7,25,
1740-91750,3,D1,Alamosa National Wildlife Refuge,WIFL_ADA2_E9,Eben Paxton,USA,CO,37.4307,-105.79,ada,Breeding,Possible Breeding,1996,7,25,
2720-46106,3,D2,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,10,
2720-46149,3,D3,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,18,
2720-46150,3,D4,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,18,
2720-46181,3,D5,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,22,
2720-46219,3,D6,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,24,
2720-46230,3,D7,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,29,
2720-47993,3,D8,Fort Morgan,,Frank Moore,USA,AL,30.2508,-87.905,NA,Migrant,,2014,9,8,
1740-51612,3,D9,Mountain City,WIFL_PA-TRA1_D9,Eben Paxton,USA,TN,36.3942,-81.852,tra,Breeding,,2000,6,19,
1740-51613,3,D10,Mountain City,WIFL_PA-TRA1_E1,Eben Paxton,USA,TN,36.3942,-81.852,tra,Breeding,,2000,6,19,
1740-51615,3,D11,Mountain City,WIFL_PA-TRA1_E2,Eben Paxton,USA,TN,36.3942,-81.852,tra,Breeding,,2000,6,19,
1740-51616,3,D12,Mountain City,WIFL_PA-TRA1_E3,Eben Paxton,USA,TN,36.3942,-81.852,tra,Breeding,,2000,6,19,
1740-51601,3,E1,Cross Creek,WIFL_PA-TRA1_D2,Eben Paxton,USA,TN,36.5,-87.787,tra,Breeding,,2000,6,16,
1740-51604,3,E2,Cross Creek,WIFL_PA-TRA1_D3,Eben Paxton,USA,TN,36.5,-87.787,tra,Breeding,,2000,6,16,
1740-51605,3,E3,Cross Creek,WIFL_PA-TRA1_D4,Eben Paxton,USA,TN,36.5,-87.787,tra,Breeding,,2000,6,16,
1740-51606,3,E4,Cross Creek,WIFL_PA-TRA1_D5,Eben Paxton,USA,TN,36.5,-87.787,tra,Breeding,,2000,6,16,
08N11134,3,E5,Big Piney,,Elly Knight,USA,MO,37.705,-92.117,NA,Migrant,,2008,5,24,
08N11120,3,E6,Devils Elbow,,Elly Knight,USA,MO,37.7425,-92.043,NA,Migrant,,2008,5,24,
1740-91785,3,E7,Black Creek SWMA,WIFL_PA-TRA1_G5,Eben Paxton,USA,NY,42.65,-73.933,tra,Breeding,,1998,6,28,Failed
1740-91786,3,E8,Black Creek SWMA,WIFL_PA-TRA1_G6,Eben Paxton,USA,NY,42.65,-73.933,tra,Breeding,,1998,6,28,Failed
1740-91790,3,E9,Jen Owen's Mom's House,WIFL_PA-TRA1_G9,Eben Paxton,USA,NY,43.375,-73.7,tra,Breeding,,1998,7,1,
09N0867,3,E10,Center Harbor,,John Merrill,USA,NH,43.6917,-71.475,NA,Migrant,,2009,9,8,
2290-24395,3,E11,King's Park,WIFL_PA-TRA1_H8,Eben Paxton,USA,MD,38.95,-76.97,tra,Breeding,,2004,7,2,
2290-24396,3,E12,Lewisdale 1,WIFL_PA-TRA1_H9,Eben Paxton,USA,MD,38.9737,-76.975,tra,Breeding,,2004,7,2,
2290-24397,3,F1,Lewisdale 2,WIFL_PA-TRA1_I1,Eben Paxton,USA,MD,38.9737,-76.975,tra,Breeding,,2004,7,2,
2290-24394,3,F2,Lilypons,WIFL_PA-TRA1_H7,Eben Paxton,USA,MD,39.29,-77.43,tra,Breeding,,2004,7,1,
2290-24400,3,F3,Mount Airy,WIFL_PA-TRA1_I4,Eben Paxton,USA,MD,39.37,-77.15,tra,Breeding,,2004,7,2,
2290-24377,3,F4,New Market,WIFL_PA-TRA1_H5,Eben Paxton,USA,MD,39.38,-77.27,tra,Breeding,,2004,7,2,
2290-24378,3,F5,New Market,WIFL_PA-TRA1_H6,Eben Paxton,USA,MD,39.38,-77.27,tra,Breeding,,2004,7,2,
2290-24398,3,F6,Piney Run Reservoir,WIFL_PA-TRA1_I2,Eben Paxton,USA,MD,39.4,-76.99,tra,Breeding,,2004,7,2,
2290-24399,3,F7,Piney Run Reservoir,WIFL_PA-TRA1_I3,Eben Paxton,USA,MD,39.4,-76.99,tra,Breeding,,2004,7,2,
2750-97761,3,F8,Vicksburg,"WIFL_MISC_A8, WIFLBLOOD_MISC_D3",Mary Whitfield,USA,MI,42.1669,-85.518,tra,Breeding,,2016,7,4,
2750-97762,3,F9,Vicksburg,"WIFL_MISC_A9, WIFLBLOOD_MISC_D4",Mary Whitfield,USA,MI,42.1669,-85.518,tra,Breeding,,2016,7,4,
2710-37143,3,F10,Augusta,WIFL_MISC_A2,Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,2,
2750-97753,3,F11,Augusta,"WIFL_MISC_A6, WIFLBLOOD_MISC_D1",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,7,1,
2750-97754,3,F12,Augusta,"WIFL_MISC_A7, WIFLBLOOD_MISC_D2",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,7,1,
2750-97771,3,G1,Augusta,"WIFL_MISC_B1, WIFLBLOOD_MISC_D5",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,7,10,
2750-98990,3,G2,Augusta,"WIFL_MISC_B2, WIFLBLOOD_MISC_D6",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,2,
2750-98995,3,G3,Augusta,"WIFL_MISC_B3, WIFLBLOOD_MISC_D7",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,2,
2750-98997,3,G4,Augusta,"WIFL_MISC_B4, WIFLBLOOD_MISC_D8",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,2,
2750-99269,3,G5,Augusta,"WIFL_MISC_B5, WIFLBLOOD_MISC_D9",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,13,
2750-99292,3,G6,Augusta,"WIFL_MISC_B6, WIFLBLOOD_MISC_E1",Mary Whitfield,USA,MI,42.2969,-85.324,tra,Breeding,,2016,6,13,
16N0244,3,G7,Augusta,,,USA,MI,42.2969,-85.303,NA,Migrant,,2016,6,6,
07N2592,3,G8,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2007,5,8,
07N2607,3,G9,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2007,5,15,
07N2617,3,G10,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2007,5,24,
09N0127,3,G11,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2009,5,28,
09N0128,3,G12,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2009,5,28,
09N0129,3,H1,"Lily Pool, Lincoln Park, Chicago",,,USA,IL,41.925,-87.634,NA,Migrant,,2009,5,28,
1740-51660,3,H2,Little White River Rec. Area,WIFL_PA-TRA1_F3,Eben Paxton,USA,SD,43.1667,-101.53,tra,Breeding,,2000,6,19,
1740-51662,3,H3,Little White River Rec. Area,WIFL_PA-TRA1_F4,Eben Paxton,USA,SD,43.1667,-101.53,tra,Breeding,,2000,6,19,
1740-51651,3,H4,Arrowwood NWR,WIFL_PA-TRA1_E4,Eben Paxton,USA,ND,47.2125,-98.842,tra,Breeding,,2000,6,17,
1740-51653,3,H5,Arrowwood NWR,WIFL_PA-TRA1_E5,Eben Paxton,USA,ND,47.2125,-98.842,tra,Breeding,,2000,6,17,
1740-51654,3,H6,Arrowwood NWR,WIFL_PA-TRA1_E6,Eben Paxton,USA,ND,47.2125,-98.842,tra,Breeding,,2000,6,17,
06N25048,3,H7,Stevensville,,Deborah Goslin,USA,MT,46.5811,-114.06,NA,Migrant,,2006,8,3,
06N30149,3,H8,Stevensville,,Deborah Goslin,USA,MT,46.5811,-114.06,NA,Migrant,,2006,8,10,
07N30569,3,H9,Stevensville,,Deborah Goslin,USA,MT,46.5811,-114.06,NA,Migrant,,2007,8,9,
1590-97499,3,H10,Hamon Memorial,WIFL_ADA1_H8,Eben Paxton,USA,MT,45.95,-114.13,ada,Breeding,,1998,6,20,Failed
2240-94316,4,A1,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_F1,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,13,
2240-94317,4,A2,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_F2,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,14,
2240-94337,4,A3,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_G5,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,14,
2240-94339,4,A4,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_G7,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,13,
2240-94340,4,A5,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_G8,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,13,
2240-94341,4,A6,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_G9,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2003,2,14,
2240-94374,4,A7,"Lag. Pampa el Cabildo, Chis",WIFL_MX1_I1,Eben Paxton,MX,MX,14.7226,-92.42,NA,Wintering,,2004,2,28,
2240-94338,4,A8,"San Isidro, Chis",WIFL_MX1_G6,Eben Paxton,MX,MX,15.7034,-93.381,NA,Wintering,,2003,2,17,
2240-94351,4,A9,"Rio Copalita, Oax",WIFL_MX1_H5,Eben Paxton,MX,MX,15.7925,-96.05,NA,Wintering,,2003,2,25,
2240-94352,4,A10,"Rio Copalita, Oax",WIFL_MX1_H6,Eben Paxton,MX,MX,15.7925,-96.05,NA,Wintering,,2003,2,25,
2330-99710,4,A11,"Rio Copalita, Oax",WIFL_MX2_A9,Eben Paxton,MX,MX,15.7925,-96.05,NA,Wintering,,2004,2,22,
2330-99711,4,A12,"Rio Copalita, Oax",WIFL_MX2_B1,Eben Paxton,MX,MX,15.7925,-96.05,NA,Wintering,,2004,2,23,
2240-94371,4,B1,"R?_o Copalita,Oax",WIFL_MX1_H8,Mary Whitfield,MX,MX,15.7928,-96.049,NA,Wintering,,2004,2,22,
2240-94372,4,B2,"R?_o Copalita,Oax",WIFL_MX1_H9,Mary Whitfield,MX,MX,15.7928,-96.049,NA,Wintering,,2004,2,23,
2330-99720,4,B3,"R?_o Copalita,Oax",WIFL_MX2_B5,Mary Whitfield,MX,MX,15.7928,-96.049,NA,Wintering,,2004,2,23,
2240-94301,4,B4,"Puerto Escodido, Oax",WIFL_MX1_D7,Eben Paxton,MX,MX,15.8084,-97.002,NA,Wintering,,2003,2,11,
2240-94302,4,B5,"La Barra, Chis",WIFL_MX1_D8,Eben Paxton,MX,MX,15.8895,-93.71,NA,Wintering,,2003,2,12,
2240-94303,4,B6,"La Barra, Chis",WIFL_MX1_D9,Eben Paxton,MX,MX,15.8895,-93.71,NA,Wintering,,2003,2,12,
04N7338,4,B7,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
04N7339,4,B8,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
04N7340,4,B9,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
04N7341,4,B10,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
05N6706,4,B11,Cibola,,MATHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2005,8,3,
05N6707,4,B12,Cibola,,MATHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2005,6,15,
05N6708,4,C1,Cibola,,MATHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2005,6,1,
05N6916,4,C2,Cibola,,MATHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2005,9,1,
07N13289,4,C3,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,8,20,
07N13577,4,C4,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,8,4,
07N13578,4,C5,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,8,4,
07N13579,4,C6,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,8,4,
07N13580,4,C7,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,8,11,
07N13584,4,C8,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,9,22,
07N13585,4,C9,Cibola,,,USA,AZ,33.3658,-114.68,NA,Migrant,,2007,9,22,
